Commercial AO designator,CFN,CFN suffix,ATC AO designator,ATC flight id,Start of period of operation,End of period of operation,Days of operation,ICAO ADEP,EOBT,ICAO ADES,ETA,ICAO aircraft type,No-change indicator,Change-actions indicator,Call-sign format,Next CFN
AF,003,,AFR,003,27MAR11,27MAR11,7,KJFK,0005,LFPG,0730,A388,N,,,
AF,006,,AFR,006,27MAR11,21APR11,14567,LFPG,1135,KJFK,1950,A388,N,,,
AF,006,,AFR,006,29MAR11,27APR11,23,LFPG,1135,KJFK,1950,B77W,N,,,
AF,006,,AFR,006,22APR11,05SEP11,1567,LFPG,1135,KJFK,1950,A388,N,,,
AF,006,,AFR,006,28APR11,01SEP11,234,LFPG,1135,KJFK,1950,B77W,N,,,
AF,006,,AFR,006,06SEP11,29OCT11,1234567,LFPG,1135,KJFK,1950,A388,N,,,
AF,007,,AFR,007,27MAR11,21APR11,14567,KJFK,2315,LFPG,0635,A388,N,,,
AF,007,,AFR,007,29MAR11,27APR11,23,KJFK,2315,LFPG,0635,B77W,N,,,
AF,007,,AFR,007,22APR11,05SEP11,1567,KJFK,2315,LFPG,0635,A388,N,,,
AF,007,,AFR,007,28APR11,01SEP11,234,KJFK,2315,LFPG,0635,B77W,N,,,
AF,007,,AFR,007,06SEP11,28OCT11,1234567,KJFK,2315,LFPG,0635,A388,N,,,
AF,007,,AFR,007,29OCT11,29OCT11,6,KJFK,2315,LFPG,0635,A388,N,,,
AF,008,,AFR,008,27MAR11,08MAY11,1234567,LFPG,1710,KJFK,0120,B772,N,,,
AF,008,,AFR,008,09MAY11,21JUN11,1234567,LFPG,1710,KJFK,0120,A343,N,,,
AF,008,,AFR,008,22JUN11,31JUL11,37,LFPG,1710,KJFK,0120,B332,N,,,
AF,008,,AFR,008,23JUN11,30JUL11,12456,LFPG,1710,KJFK,0120,A343,N,,,
AF,008,,AFR,008,01AUG11,04SEP11,1234567,LFPG,1710,KJFK,0120,B332,N,,,
AF,008,,AFR,008,05SEP11,29OCT11,146,LFPG,1710,KJFK,0120,B772,N,,,
AF,008,,AFR,008,06SEP11,28OCT11,2357,LFPG,1710,KJFK,0120,B772,N,,,
AF,009,,AFR,009,28MAR11,09MAY11,1234567,KJFK,0320,LFPG,1030,B772,N,,,
AF,009,,AFR,009,10MAY11,22JUN11,1234567,KJFK,0320,LFPG,1030,A343,N,,,
AF,009,,AFR,009,23JUN11,01AUG11,14,KJFK,0320,LFPG,1030,B332,N,,,
AF,009,,AFR,009,24JUN11,31JUL11,23567,KJFK,0320,LFPG,1030,A343,N,,,
AF,009,,AFR,009,02AUG11,05SEP11,1234567,KJFK,0320,LFPG,1030,B332,N,,,
AF,009,,AFR,009,06SEP11,28OCT11,257,KJFK,0320,LFPG,1030,B772,N,,,
AF,009,,AFR,009,07SEP11,29OCT11,1346,KJFK,0320,LFPG,1030,B772,N,,,
AF,010,,AFR,010,27MAR11,08MAY11,1234567,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,09MAY11,05JUN11,1234567,LFPG,1435,KJFK,2240,B744,N,,,
AF,010,,AFR,010,06JUN11,20JUN11,13467,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,07JUN11,21JUN11,25,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,22JUN11,01JUL11,235,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,23JUN11,03JUL11,1467,LFPG,1435,KJFK,2240,B772,N,,,
AF,010,,AFR,010,04JUL11,29OCT11,1234567,LFPG,1435,KJFK,2240,B772,N,,,
AF,011,,AFR,011,27MAR11,27MAR11,7,KJFK,0245,LFPG,1000,B772,N,,,
