Label	Units	Hits	Avg	Total	StdDev	LastValue	Min	Max	Active	AvgActive	MaxActive	FirstAccess	LastAccess	Enabled	Primary	HasListeners	LessThan_0ms	0_10ms	10_20ms	20_40ms	40_80ms	80_160ms	160_320ms	320_640ms	640_1280ms	1280_2560ms	2560_5120ms	5120_10240ms	10240_20480ms	GreaterThan_20480ms
query	ms.	14380.0	1.727260083449235	24838.0	1.9267176880016685	1.0	0.0	86.0	0.0	1.884700973574409	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	true	false		14Ê305/1,6 (0/0/0)	55/13,8 (0/0/0)	18/25,1 (0/0/0)		2/85,5 (0/0/0)								
query/*/*/*/0	ms.	20.0	0.2	4.0	0.6155870112510925	0.0	0.0	2.0	0.0	1.05	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		20/0,2 (0/0/0)												
query/*/*/*/10	ms.	20.0	1.1	22.0	0.447213595499958	1.0	1.0	3.0	0.0	1.05	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		20/1,1 (0/0/0)												
query/*/*/*/5	ms.	20.0	3.05	61.0	7.207269721753534	1.0	0.0	30.0	0.0	1.05	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		18/0,8 (0/0/0)	1/16 (0/0/0)	1/30 (0/0/0)										
query/*/*/*/50	ms.	20.0	1.25	25.0	0.4442616583193193	1.0	1.0	2.0	0.0	1.0	1.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		20/1,2 (0/0/0)												
query/*/*/1/0	ms.	440.0	4.025	1771.0	6.512424606832781	3.0	2.0	86.0	0.0	1.2954545454545454	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		398/2,6 (0/0/0)	40/14,2 (0/0/0)			2/85 (0/0/0)								
query/*/*/1/10	ms.	460.0	3.006521739130435	1383.0	0.7032145840071627	3.0	2.0	8.0	0.0	1.4	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		460/3 (0/0/0)												
query/*/*/1/5	ms.	320.0	4.275	1368.0	5.17099458063708	3.0	2.0	33.0	0.0	1.246875	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		297/2,9 (0/0/0)	6/12,2 (0/0/0)	17/24,8 (0/0/0)										
query/*/*/1/50	ms.	340.0	3.2470588235294118	1104.0	0.8470790673733427	3.0	2.0	9.0	0.0	1.1941176470588235	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		340/3,2 (0/0/0)												
query/*/*/7/0	ms.	140.0	3.6857142857142855	516.0	2.4526764540566006	2.0	2.0	19.0	0.0	1.1428571428571428	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		135/3,3 (0/0/0)	5/12,8 (0/0/0)											
query/*/*/7/10	ms.	140.0	3.4	476.0	0.8293188676092335	3.0	2.0	9.0	0.0	1.1285714285714286	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		140/3,4 (0/0/0)												
query/*/*/7/5	ms.	140.0	3.4214285714285713	479.0	0.8901366570603355	3.0	2.0	8.0	0.0	1.1785714285714286	2.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		140/3,4 (0/0/0)												
query/*/*/7/50	ms.	120.0	3.7083333333333335	445.0	1.1405131775316102	3.0	3.0	9.0	0.0	1.1333333333333333	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false		120/3,7 (0/0/0)												
query/ADEP/*/*/0	ms.	100.0	0.82	82.0	0.7160497697278261	1.0	0.0	2.0	0.0	1.0	1.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		100/0,8 (0/0/0)												
query/ADEP/*/*/10	ms.	100.0	0.69	69.0	0.6307763374436203	1.0	0.0	3.0	0.0	1.0	1.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		100/0,7 (0/0/0)												
query/ADEP/*/*/5	ms.	100.0	0.82	82.0	0.8454273917655346	1.0	0.0	5.0	0.0	1.0	1.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		100/0,8 (0/0/0)												
query/ADEP/*/*/50	ms.	100.0	0.6	60.0	0.5685352436149612	1.0	0.0	2.0	0.0	1.0	1.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		100/0,6 (0/0/0)												
query/ADEP/*/1/0	ms.	2140.0	1.405607476635514	3008.0	1.1587286302093116	2.0	0.0	11.0	0.0	1.1186915887850468	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		2Ê139/1,4 (0/0/0)	1/11 (0/0/0)											
query/ADEP/*/1/10	ms.	2160.0	1.313425925925926	2837.0	1.0251155106454521	2.0	0.0	8.0	0.0	1.099074074074074	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		2Ê160/1,3 (0/0/0)												
query/ADEP/*/1/5	ms.	2320.0	1.4543103448275863	3374.0	1.0860273127709084	2.0	0.0	11.0	0.0	1.1258620689655172	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		2Ê319/1,5 (0/0/0)	1/11 (0/0/0)											
query/ADEP/*/1/50	ms.	2400.0	1.245	2988.0	0.8945996098026804	2.0	0.0	8.0	0.0	1.1175	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		2Ê400/1,2 (0/0/0)												
query/ADEP/*/7/0	ms.	720.0	1.6944444444444444	1220.0	1.1487295865922265	1.0	0.0	8.0	0.0	1.0652777777777778	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		720/1,7 (0/0/0)												
query/ADEP/*/7/10	ms.	680.0	1.6838235294117647	1145.0	1.1142549759519897	1.0	0.0	8.0	0.0	1.048529411764706	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		680/1,7 (0/0/0)												
query/ADEP/*/7/5	ms.	660.0	1.8257575757575757	1205.0	1.312344865439494	2.0	0.0	14.0	0.0	1.0545454545454545	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		659/1,8 (0/0/0)	1/14 (0/0/0)											
query/ADEP/*/7/50	ms.	720.0	1.4402777777777778	1037.0	0.991922834808638	1.0	0.0	8.0	0.0	1.0375	2.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false		720/1,4 (0/0/0)												
Label	Units	Hits	Avg	Total	StdDev	LastValue	Min	Max	Active	AvgActive	MaxActive	FirstAccess	LastAccess	Enabled	Primary	HasListeners
query	count	14380.0	2960.0445062586928	4.256544E7	6005.2839624111275	171.0	2.0	23343.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/*/*/*/0	count	20.0	23343.0	466860.0	0.0	23343.0	23343.0	23343.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/*/10	count	20.0	17809.0	356180.0	0.0	17809.0	17809.0	17809.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/*/5	count	20.0	21162.0	423240.0	0.0	21162.0	21162.0	21162.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/*/50	count	20.0	6309.0	126180.0	0.0	6309.0	6309.0	6309.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/1/0	count	440.0	21642.409090909092	9522660.0	311.53125513185046	21876.0	20637.0	21913.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/1/10	count	460.0	15871.434782608696	7300860.0	387.1959219980528	16135.0	14743.0	16231.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/1/5	count	320.0	18717.875	5989720.0	433.4908784424304	19015.0	17588.0	19067.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/1/50	count	340.0	5995.823529411765	2038580.0	154.14058452826202	6075.0	5607.0	6156.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/7/0	count	140.0	21816.571428571428	3054320.0	133.11201227119324	21976.0	21633.0	21976.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/7/10	count	140.0	16113.714285714286	2255920.0	144.43610450175922	16277.0	15931.0	16286.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/7/5	count	140.0	19068.14285714286	2669540.0	125.57485494015265	19251.0	18871.0	19251.0	0.0	0.0	0.0	Thu Jan 19 15:34:49 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/*/*/7/50	count	120.0	6102.333333333333	732280.0	79.36018659056282	6178.0	5951.0	6178.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:01 GMT 2012	true	false	false
query/ADEP/*/*/0	count	100.0	1210.4	121040.0	1240.7668856987057	996.0	7.0	3319.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/*/10	count	100.0	553.2	55320.0	529.8886484894537	550.0	6.0	1419.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/*/5	count	100.0	787.8	78780.0	703.2158166939114	774.0	6.0	1628.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/*/50	count	100.0	207.2	20720.0	283.4230873881774	171.0	2.0	758.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/1/0	count	2140.0	1049.7196261682243	2246400.0	1189.9241299953771	782.0	7.0	3277.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/1/10	count	2160.0	474.69444444444446	1025340.0	501.55115498044677	484.0	6.0	1362.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/1/5	count	2320.0	761.25	1766100.0	687.6852810038597	637.0	6.0	1622.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/1/50	count	2400.0	212.975	511140.0	275.25220425695375	171.0	2.0	751.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/7/0	count	720.0	1099.888888888889	791920.0	1220.2260393389506	777.0	7.0	3287.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/7/10	count	680.0	512.3235294117648	348380.0	487.4817451716481	481.0	6.0	1362.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/7/5	count	660.0	786.6666666666666	519200.0	679.7599623944149	654.0	6.0	1622.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
query/ADEP/*/7/50	count	720.0	201.05555555555554	144760.0	273.5504921133117	171.0	2.0	758.0	0.0	0.0	0.0	Thu Jan 19 15:34:50 GMT 2012	Thu Jan 19 15:35:02 GMT 2012	true	false	false
